cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABa:1,ABa,1,21882,-3118,5110,5110,21882,30.7,171,272,72,1428487
ABa:2,ABa,2,21714,-3286,5248,5248,21714,30,190,272,67,1202554
ABa:3,ABa,3,23506,-1494,7351,7351,23506,32.1,185,261,70,1545601
ABa:4,ABa,4,25444,444,7584,7584,25444,31.7,183,239,71,1459779
ABa:5,ABa,5,23663,-1337,5077,5077,23663,32,206,230,68,180302
ABa:6,ABa,6,20742,-4258,3689,3689,20742,32.6,206,227,54,325103
ABa:7,ABa,7,17419,-7581,2048,2048,17419,33,212,224,59,152558
ABal:8,ABal,8,19410,-5590,-7,-7,19410,31.2,188,302,44,132476
ABal:9,ABal,9,19125,-5875,-2117,-2117,19125,33,188,302,52,282483
ABal:10,ABal,10,17792,-7208,-2076,-2076,17792,34,164,308,52,464497
ABal:11,ABal,11,17398,-7602,-1855,-1855,17398,30.6,141,282,58,807321
ABal:12,ABal,12,19648,-5352,-3585,-3585,19648,25.8,143,286,58,974333
ABal:13,ABal,13,20016,-4984,-3120,-3120,20016,22.3,142,264,57,847504
ABal:14,ABal,14,19627,-5373,-3832,-3832,19627,23.3,143,296,53,717287
ABal:15,ABal,15,19376,-5624,-6407,-6407,19376,29,140,315,52,786717
ABal:16,ABal,16,21067,-3933,-4241,-4241,21067,28.3,140,308,53,796861
ABal:17,ABal,17,23367,-1633,-936,-936,23367,29.3,152,323,55,722215
ABal:18,ABal,18,19524,-5476,2382,2382,19524,33,156,314,54,469250
ABal:19,ABal,19,17904,-7096,565,565,17904,34,166,298,52,280102
ABala:20,ABala,20,16605,-8395,-4436,-4436,16605,33.4,145,284,39,189583
ABala:21,ABala,21,19767,-5233,-3818,-3818,19767,36,140,270,42,216422
ABala:22,ABala,22,17238,-7762,-5462,-5462,17238,36.4,136,259,47,291526
ABala:23,ABala,23,14444,-10556,-5602,-5602,14444,37.1,123,274,49,420534
ABala:24,ABala,24,14001,-10999,-5225,-5225,14001,37,120,268,46,411044
ABala:25,ABala,25,12945,-12055,-4502,-4502,12945,37.5,124,248,49,452819
ABala:26,ABala,26,13271,-11729,-4698,-4698,13271,36.8,130,240,47,411538
