0,1,2,3,4,5,6,7,8,9
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaaa',b'ABarapaaa',b'ABalpapaaa',b'ABalapapaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpaap',b'ABarapaap',b'ABalpapaap',b'ABalapapaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpapa',b'ABarapapa',b'ABalpapapa',b'ABalapapapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpapp',b'ABarapapp',b'ABalpapapp',b'ABalapapapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplppaa',b'ABarappaa',b'ABalpappaa',b'ABalapappaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplppap',b'ABarappap',b'ABalpappap',b'ABalapappap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpppa',b'ABarapppa',b'ABalpapppa',b'ABalapapppa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplpppp',b'ABarapppp',b'ABalpapppp',b'ABalapapppp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraaaa',b'ABarpaaaa',b'ABalppaaaa',b'ABalappaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraaap',b'ABarpaaap',b'ABalppaaap',b'ABalappaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraapa',b'ABarpaapa',b'ABalppaapa',b'ABalappaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABpraapp',b'ABarpaapp',b'ABalppaapp',b'ABalappaapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprapaa',b'ABarpapaa',b'ABalppapaa',b'ABalappapaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprapap',b'ABarpapap',b'ABalppapap',b'ABalappapap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprappa',b'ABarpappa',b'ABalppappa',b'ABalappappa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprappp',b'ABarpappp',b'ABalppappp',b'ABalappappp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpaaa',b'ABarppaaa',b'ABalpppaaa',b'ABalapppaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpaap',b'ABarppaap',b'ABalpppaap',b'ABalapppaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpapa',b'ABarppapa',b'ABalpppapa',b'ABalapppapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpapp',b'ABarppapp',b'ABalpppapp',b'ABalapppapp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprppaa',b'ABarpppaa',b'ABalppppaa',b'ABalappppaa',b'ABalaappppaa'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprppap',b'ABarpppap',b'ABalppppap',b'ABalappppap',b'ABalaappppap'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpppa',b'ABarppppa',b'ABalpppppa',b'ABalapppppa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABprpppp',b'ABarppppp',b'ABalpppppp',b'ABalapppppp',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaaaa',b'ABaraaaaaa',b'ABalpaaaaaa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaaap',b'ABaraaaaap',b'ABalpaaaaap',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaapa',b'ABaraaaapa',b'ABalpaaaapa',b'0.0'
b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'0.0',b'ABplaaapp',b'ABaraaaapp',b'ABalpaaaapp',b'0.0'
